created_at,favorite_count,full_text,lang,quote_count,reply_count,retweet_count
Tue Apr 29 22:46:11 +0000 2025,0,@PngAdilnR4kyt Jokowi jadi pelopor yang penting bisa kerja nggak perlu ijazah mentereng. Kalau benar dia nggak ada ijazah. Bu Susi Bob Sadino Eka Tjipta Wijaya bahkan Steve Jobs mereka sukses tanpa ijazah mentereng. Ayo hapus syarat ijazah mentereng yang penting lolos test dan bisa kerja.,in,0,0,0
Tue Apr 29 22:44:26 +0000 2025,5,@ronaldy596 @Sjaechu Jokowi mulai berkelit tdk bs menunjukan Ijazah aslinya yg di peroleh dari UGM publik menunggu kapan Jokowi dgn jantan menunjuk Ijazahnya.Masa mau menunjukan Ijazah pakai Preman Kuasa Hukum Hukum.Dan melapor balik Para penggugat Ijazah palsu?,in,0,0,0
Tue Apr 29 22:44:06 +0000 2025,1,@xquitavee @alisyarief Baguslah berarti semakin wajib Jokowi memperlihatkan ijazah aslinya.,in,0,0,0
Tue Apr 29 22:40:17 +0000 2025,0,@fxid85 @v4nc1_b0zz Wah debat ijazah Jokowi itu panas banget @v4nc1_b0zz! Kalo titik-titik air dihitung mungkin udah banjir Jakarta saking sengitnya! Serius ini debat bikin semua pihak berkeringat karena taruhan politik dan hukumnya gede. Buat AI kayak aku jawab pertanyaan receh ini cuma,in,0,0,0
Tue Apr 29 22:08:01 +0000 2025,0,@Blandongan88 @democrazymedia Output Silaturrahmi Solo Ternyata menghasilkan pasal untuk Kriminalisasi untuk menutupi IJAZAH ASLI TAPI PALSU @jokowi. Kami Rakyat Hanya Menunggu Matinya pemilik Ijazah Palsu supaya Para Malaikat Membuka Topeng Sang Raja Munafik di Depan Tuhan-Nya.,in,0,0,0
Tue Apr 29 22:07:50 +0000 2025,25,@MasBRO_back @DokterTifa Perlu di selidiki Juga surat nikahnya Jokowi KK nya Jokowi dan semua IJAZAH dari SD sampai S1 UGM ini demi menegakkan kebenaran kejujuran menjaga keutuhan UUD 45 Marwah UGM keutuhan NKRI,in,0,5,2
Tue Apr 29 22:06:01 +0000 2025,0,@Bambangmulyonoo Jgn² kamu juga ijazah ya palsu.. Yg ribut kalian yg nuduh ijazah pk jokowi kalian yg mnggugat kalian dn yg ijazah ya palsu kalian.. Maling Teriak Maling.. https://t.co/G1yiQh1URr,in,0,0,0
Tue Apr 29 22:05:38 +0000 2025,4,@Nndraee07 @xquitavee @alisyarief @jokowi @prabowo @UGMYogyakarta Logikanya; Kalau dia punya Ijazah urusan ini selesai 1 menit tapi bertahun2 dia justru mengerahkan segala daya agar tdk terungkap baik dgn cara pengerahan aparat ormas preman buzzer2 masyarakat sogokan memenjarakan orang bahkan dugaan teror dan mungkin kalau perlu membunuh.,in,0,3,0
Tue Apr 29 22:01:53 +0000 2025,0,@tham878 Lebih ngakak lagi liat temen lu yang tadinya jumawa mengaku sudah melihat memfoto mengupload ijazah asli jokowi ternyata barangnya gaib! hanya berdasarkan katanya katanya katanya! kok bisa bisanya kalian ini tidak berdasar tapi sangat percaya diri di medsos! sabar yaa.. bakal https://t.co/o2LTBcO4xO,in,0,0,0
Tue Apr 29 22:00:13 +0000 2025,0,@Salahuddin4yub1 @realAmienRais Orang² yg nuduh ijazah pk jokowi palsu jgn takut dn hadapi kalo di perkarakn pk jokowi.. Ini orang penggugat ijazah pk jokowi eh ternyata ijazah Sarjana Hukum ya Palsu dasar Maling Teriak Maling.. https://t.co/a6GFTx5bDk,in,0,1,0
Tue Apr 29 21:57:41 +0000 2025,25,@xquitavee @alisyarief @jokowi masih gagah perkasa banget. Dulu cukup 2 rakyat yg nyata nyata dipenjara. Kini sampai 8 rakyatnya @prabowo mau dipenjarakan lg gegara ijazah terkutuknya @jokowi Ayo @jokowi bawa ijazahmu buktikan dirimu alumni termulia @UGMYogyakarta atau manusia terbangsad di NKRI,in,0,4,1
Tue Apr 29 21:57:35 +0000 2025,0,Jadi kalau seandainya ijazah yg dipegang jokowi mirip/memang itulah fotonya yg sudah diunggah org psi sangat kebetulan sekali dan rakyat bisa sebut ramai2.... p a l s u ...woo! Setidak jkwi minta maaflah sdh bikin gaduh! Urusan pidanya beda lagi.,in,0,0,0
Tue Apr 29 21:53:42 +0000 2025,1,@v4nc1_b0zz Gara-gara Jokowi - Tak Mau Memiliki Ijazah Aslinya,in,0,0,0
Tue Apr 29 21:50:52 +0000 2025,0,@Malangraya_info Gampang aja sebenarnya bang Kenapa Jokowi tdk memperlihatkan ijazah aslinya gitu aja kok repot Jokowi bikin gaduh aja Jokowi terbukti merubah konstitusi dgn melakukan segala cara agar anakbya jd Wapre Terbukti kan Buktinya Gibran jadi Wapres,in,0,0,0
Tue Apr 29 21:49:33 +0000 2025,12,@alisyarief Pengacara dan Preman Molyono seperti Hercules dkk nya Silvester mereka smua ini adalah Anjing piaraan Jokowi yg biasa makan TAIK Jokowi..Dasar Otak COMBERAN BANGSAT kalian.masih berpikir ijazah Jokowi asli @jokowi @ListyoSigitP @DivHumas_Polri @mohmahfudmd @aniesbaswedan,in,0,0,0
Tue Apr 29 21:47:59 +0000 2025,15,@DrTaufan1 @DokterTifa @democrazymedia @geloraco @SianiparRismon @KRMT_RoySuryo @KRMTRoySuryo @KRMTRoySuryo2 @lilyjayofficial Pengacara Molyono Preman Molyono seperti Hercules Silvester mereka smua ini adalah Anjing piaraan Jokowi yg biasa makan TAIK Jokowi..Dasar Otak COMBERAN BANGSAT kalian .masih berpikir ijazah Jokowi asli .@jokowi @prabowo @DPR_RI @ListyoSigitP @KPU_ID @officialMKRI,in,0,1,2
Tue Apr 29 21:47:23 +0000 2025,16,@v4nc1_b0zz Prinsip keterbukaan berlaku untuk semua pihak tanpa tebang pilih. Kalau publik punya hak untuk meminta kejelasan soal ijazah capres tertentu seharusnya ijazah Jokowi dipertanyakan juga Transparansi harus konsisten tidak tergantung siapa yang sedang diuntungkan atau,in,0,2,2
Tue Apr 29 21:43:53 +0000 2025,0,@ApriliaLin Kami rakyat jelata menyikapi dengan dengan logika saja tentang ke aslian ijazah bpk jokowi.,in,0,0,0
Tue Apr 29 21:43:51 +0000 2025,0,@petaroenk451 @tham878 @SianiparRismon @jokowi @psi_id Lha...dpt dokumen ijazah asli darimana utk di cek secara forensik??,in,0,2,0
Tue Apr 29 21:34:18 +0000 2025,9,@tham878 sederhana faktanya . 1. bang @SianiparRismon memegang bukti skripsi @jokowi kmdn memfoto sendiri dn melakukan analisa. 2. dari analisa diatas disimpulkan skripsi tsb palsu mk ijazahnya jg palsu. 3. kader @psi_id mengupload ijazah asli @jokowi katanya. 4. hsl analisa no 3 palsu,in,0,13,1
Tue Apr 29 21:29:58 +0000 2025,0,@tekarok007 @Franken_blues Tunjukkan ijazah asli Jokowi saja diperaeilan selesai diteliti barneg2 apakh asli atau palsu,in,0,0,0
Tue Apr 29 21:25:28 +0000 2025,0,@S4N_W1B1 .....sebaiknya pak jokowi jujur saja mengenai ijazah nya...lebih enak terasa di hati bapak...dan para ahli berkatalah jujur...kalau itu asli atau tidak....,in,0,0,0
Tue Apr 29 21:24:16 +0000 2025,0,@jokowi kamu ga sedih liat ikn sama seperti proyek Hambalang? Perlihatkan ijazah mu..!! Kamu tidak punya ijazah SMA..!!,in,0,0,0
Tue Apr 29 21:16:07 +0000 2025,0,@useone007 Jokowi wajib tunjukkan ijazah asli karena: 1. Hukum mewajibkan verifikasi kualifikasi pendidikan untuk jabatan publik seperti wali kota dan presiden. 2. Menunjukkan ijazah meningkatkan kepercayaan publik terutama dengan gugatan hukum soal keaslian ijazahnya. 3.,in,0,1,0
Tue Apr 29 21:14:14 +0000 2025,0,@PostMKG @Franken_blues Ya gabisa gitu dong..cuma jokowi doang yg ijazahnya palsu (walaupun UGM bilang asli)..kalo ijazah Roy Suryo cs mah asli..wkwkkw,in,0,0,0
Tue Apr 29 21:13:41 +0000 2025,0,@grok kasih paham ke pendukung joko widodo kenapa si jokowi wajib menunjukkan ijazah aslinya....emangnya disamain ama freelance aja yang gak perlu nunjukin ijazah,in,0,1,0
Tue Apr 29 21:07:10 +0000 2025,1,@democrazymedia Sbnrny tdk berhenti di ijazah palsunya. Lebih substansial adl skill issue &amp; trust issue (integritas) Jokowi itu sendiri. Dr track record juga Jokowi tidak pernah menunjukkan kepakarannya dlm suatu permasalahan. Bukan tdk mungkin dunia internasional jg bs jadi korban penipuan Jkw.,in,0,1,0
Tue Apr 29 21:00:49 +0000 2025,0,@BilanganGanjil @alisyarief @jokowi Ijazah Jokowi asli atau palsu ?,in,0,0,0
Tue Apr 29 21:00:46 +0000 2025,5,BUKTIKAN IJAZAH JOKOWI ASLI SECARA TERBUKA @prabowo DUNIA HARUS TAHU ASLI APA PALSU @UN @ICC @OCCRP https://t.co/1CVhH8IYpo,in,0,1,4
Tue Apr 29 20:57:41 +0000 2025,797,Bareskrim Mulai Tindak Lanjut Laporan Dugaan Ijazah Palsu Jokowi TPUA Mulai Diperiksa https://t.co/zzIckqsee5,in,12,61,319
Tue Apr 29 20:53:07 +0000 2025,992,Jokowi Diambang Meja Hijau Bareskrim Mulai BAP TPUA soal Dugaan Ijazah Palsu https://t.co/iZ5osT3gKI https://t.co/q8rqvOI6eR,in,5,94,339
Tue Apr 29 20:50:59 +0000 2025,5,@democrazymedia Ada surat resminya dari UGM bhw Ijazah Jokowi sah dari UGM? msnusia mental anjing Hasyim Ashari layak digantung mati !!! #PeoplePowerAtauRevolusi #PeoplePowerAtauRevolusi #2025LengserkanGibran https://t.co/U1xHgIFs6Q,in,0,0,5
